Area Code,Area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
E06000052,Cornwall,-,-,-,-,-,-,-,-,-,20682,20945,21318,21100,20895,21623,21978,22237
E06000053,Isles of Scilly,!,!,!,-,-,-,-,!,-,!,!,#,#,#,!,#,#
E06000054,Wiltshire,-,-,-,-,-,-,-,-,-,23785,23813,24016,24536,23876,24680,25388,25479
E06000055,Bedford,17737,19291,20352,20787,21434,21584,22485,22894,24485,23602,23663,24000,25884,24587,25314,25201,26810
E06000056,Central Bedfordshire,-,-,-,-,-,-,-,-,-,26453,24373,23531,22696,24844,25818,25584,25116
E06000057,Northumberland,-,-,-,-,-,-,-,-,-,20790,22143,23032,21625,23358,22684,22328,23816
E07000004,Aylesbury Vale,18134,19899,19230,20205,22067,21534,23862,24122,24087,25356,27091,26000,27125,27796,27065,25330,25097
E07000005,Chiltern,17409,17832,20820,23861,22242,26056,24477,26885,27128,28055,27519,28414,27242,28184,29126,28986,#
E07000006,South Bucks,22668,22345,22336,24130,25708,30680,29054,28384,31048,32006,32501,27906,26564,31943,30126,28878,28925
E07000007,Wycombe,19506,20946,23174,25519,26489,27098,25971,25168,27244,29171,30764,29682,30713,28558,30154,29695,30695
E07000008,Cambridge,17850,20044,20938,20988,21973,23362,24873,24318,25069,27369,28120,28555,28894,29143,31227,29840,30708
E07000009,East Cambridgeshire,14133,17825,17086,19015,19824,21684,20732,22048,23364,23275,23684,23949,23352,24629,25907,25837,25767
E07000010,Fenland,16818,17883,17732,16504,19358,20768,19903,21197,21230,21360,22788,19958,23297,23664,23120,24317,24224
E07000011,Huntingdonshire,17725,18945,20416,19736,21337,22420,22833,22693,23560,24328,25768,25926,26152,26133,26591,27079,25953
E07000012,South Cambridgeshire,19157,20365,22467,25311,25166,27944,28624,29305,30000,31764,31481,32074,30370,32750,31635,33346,32686
E07000026,Allerdale,15578,15533,18169,18063,17645,16892,19239,20180,21123,21132,22280,22901,20116,20964,23012,23447,22571
E07000027,Barrow-in-Furness,18526,17600,20281,18043,18787,20801,21075,22795,22750,26527,25466,26503,26595,28851,31281,31023,28296
E07000028,Carlisle,14156,15707,16884,18174,18282,18612,19492,20473,21749,22606,22058,22950,22564,22571,24116,23592,23455
E07000029,Copeland,22155,24797,26235,26708,27432,30099,29232,30826,34439,36527,37676,36284,40118,43360,43659,44015,45673
E07000030,Eden,13036,13133,14687,17501,17331,16474,20870,21703,19854,22120,19446,19949,21190,22931,26692,25224,23756
E07000031,South Lakeland,15513,16152,16925,17795,18608,19145,19674,20269,21348,21862,21145,22369,20909,20833,22032,22297,23107
E07000032,Amber Valley,15581,15657,17123,17296,17526,20006,21303,21367,22423,25408,24836,23406,24058,26552,25000,25001,26351
E07000033,Bolsover,15608,15886,17705,18020,19664,21948,20055,20788,23925,22609,22109,21586,21553,23194,22786,23456,22663
E07000034,Chesterfield,15353,16518,16481,17841,18602,18985,21618,21647,21834,21502,24101,25790,27396,25863,24502,25149,25253
E07000035,Derbyshire Dales,16517,18243,19322,18675,20820,19799,20714,21896,22353,23602,22517,23918,23873,24615,25062,25509,24699
E07000036,Erewash,15934,16356,16709,17593,18996,21396,19916,19287,20343,20857,21507,21478,20349,23054,24498,23407,23032
E07000037,High Peak,16426,17362,18977,19379,18592,20010,21037,21967,21037,22953,25448,25463,23118,23746,24975,21457,23209
E07000038,North East Derbyshire,16135,16343,18217,18314,20777,19490,20649,23378,24578,25005,24239,23449,23108,22767,22904,21751,21008
E07000039,South Derbyshire,17067,14348,15189,19885,18650,21249,23164,24425,26423,26649,24824,21453,24365,23983,24909,26170,26452
E07000040,East Devon,14488,14909,15752,17138,17016,19248,18543,19540,19899,21175,21186,20300,20484,21217,21816,22639,23323
E07000041,Exeter,17937,19225,19973,20193,20744,21849,22577,22363,21907,23224,24289,24984,25815,25291,27037,27010,27117
E07000042,Mid Devon,15601,15701,16432,15901,16739,18191,20014,18643,18969,20284,22308,22186,22890,23221,23331,23442,22563
E07000043,North Devon,13431,14616,14433,14953,16748,17426,17010,17539,18054,18831,18539,20076,20406,20957,21460,21686,22117
E07000044,South Hams,14293,16066,17184,18356,17794,18610,18802,20155,20931,22281,22936,21368,20462,20416,20292,21163,22034
E07000045,Teignbridge,14086,15750,16321,16368,18440,18647,19630,20313,20010,20869,21728,22418,22158,22149,23134,23265,23138
E07000046,Torridge,11929,13035,14390,15293,16344,15759,15174,14956,16027,17098,17450,18220,16933,17803,18088,21419,19445
E07000047,West Devon,13487,14444,15402,16360,17795,19231,17971,17642,17313,16435,16279,17059,18617,20176,20442,21927,21621
E07000048,Christchurch,19189,18818,19151,18817,21365,23504,21544,23397,22826,20641,24009,23696,26435,24013,24875,25435,25221
E07000049,East Dorset,16502,18021,18273,18500,21277,23849,22453,22108,22464,23131,21958,22027,22535,23044,24263,24865,25830
E07000050,North Dorset,15587,17485,15721,17350,17120,18670,19356,19499,19748,18730,21157,20474,19964,19832,21400,22943,23774
E07000051,Purbeck,17959,18754,19549,20344,21717,19323,22346,23361,24376,25391,25079,23249,23639,24515,25449,27037,28626
E07000052,West Dorset,14907,15929,16991,16879,18735,19561,20653,22589,21594,23823,23554,22972,24229,24999,25910,25121,24810
E07000053,Weymouth and Portland,13505,16625,16673,17492,15408,16289,17171,17318,17465,17613,21404,21132,20861,22818,23857,26753,23581
E07000061,Eastbourne,17180,17249,18850,20597,20466,20962,22785,21708,24299,25833,25088,25120,25153,22972,23991,27184,27447
E07000062,Hastings,15140,15695,16053,15757,17631,18127,18114,19853,18617,19330,20558,21700,22585,22506,22103,24266,24776
E07000063,Lewes,17146,19758,19520,19405,20710,22259,21973,23352,23264,22131,25167,23931,25226,25160,26653,26413,26101
E07000064,Rother,13941,15266,18445,18357,17773,18539,19750,20120,20490,20836,21103,21371,21393,21492,21362,20807,21978
E07000065,Wealden,16157,17027,17604,18583,19217,20607,21331,20028,21804,22384,22695,23341,24015,23183,22825,21346,24569
E07000066,Basildon,20849,23410,25105,23192,24666,25743,24672,25528,27082,25741,26047,25362,26513,28478,29017,27998,28871
E07000067,Braintree,14925,15795,17214,19124,19269,20691,22713,23186,24633,23158,22950,23631,24790,24628,26483,25861,26799
E07000068,Brentwood,18339,18438,20690,27178,25011,24160,23309,25060,26674,26564,27842,26934,26966,28501,30434,31580,29864
E07000069,Castle Point,17378,16968,16558,16148,17154,17199,21033,20060,19088,22265,20699,19133,18825,21233,20674,21638,21500
E07000070,Chelmsford,19371,19997,21462,21568,20603,21062,22134,23039,24798,25697,26674,27179,27296,27422,27654,25689,27573
E07000071,Colchester,16668,18639,19077,19249,20300,21199,22098,22831,22223,22936,24556,24761,24104,24954,25021,25202,25110
E07000072,Epping Forest,18040,19542,20906,18825,20485,21651,24268,25968,26710,29431,29179,25875,26940,27932,26474,28874,28766
E07000073,Harlow,18743,21007,22159,22105,25424,24945,25733,26466,31970,33321,30309,27991,27854,28678,27073,#,#
E07000074,Maldon,15383,18260,19402,20545,21688,22678,22231,22710,19599,24183,25115,24884,28209,25771,25483,25195,24907
E07000075,Rochford,17660,18097,17403,18372,18458,21224,21770,23195,24006,23439,24266,22282,22180,22058,23070,24083,25542
E07000076,Tendring,16005,16917,15083,17063,18885,19302,18748,18527,18288,19091,19365,21223,20529,22296,22730,24929,25070
E07000077,Uttlesford,19420,18835,20032,21652,23325,20740,22495,23120,25340,26366,25921,27753,27770,26397,25851,27336,27070
E07000078,Cheltenham,18068,19095,20880,21529,22143,21980,23040,23421,24855,26266,27479,26632,26252,28186,27940,27439,26862
E07000079,Cotswold,17231,16751,20612,18607,18825,20706,20362,20886,22438,21696,21437,20423,21151,22954,22386,23244,#
E07000080,Forest of Dean,16509,18551,18346,18487,19273,19810,20347,20884,21326,21630,22013,21145,21934,22025,22074,23721,22109
E07000081,Gloucester,17074,18631,18940,18929,19726,20864,22003,22334,25027,26067,25753,24891,25070,27364,26440,27519,27623
E07000082,Stroud,16900,17969,18342,19302,19750,20959,23394,21582,22668,25410,26071,24360,24544,26782,27625,26247,28197
E07000083,Tewkesbury,20436,20668,20397,22255,22592,22208,24027,22061,25022,26045,26000,26864,26394,25600,27434,25393,27174
E07000084,Basingstoke and Deane,20872,20950,23389,25598,25336,27626,26474,27949,29466,31316,29952,30642,30410,28945,31322,31098,30789
E07000085,East Hampshire,18245,19343,19818,22243,19478,19417,22571,22547,23768,22687,23108,26259,25796,24735,23410,24149,26862
E07000086,Eastleigh,16579,17784,18564,18577,20045,20995,22489,22427,22016,22004,24048,25855,25147,25198,25599,26946,27938
E07000087,Fareham,17020,18627,20808,19981,19916,20889,22586,21036,23003,25547,23874,24264,25333,26025,25875,27979,27689
E07000088,Gosport,15254,15697,16945,18335,20717,20655,21196,22034,23132,21458,22676,23894,25112,22381,24561,27998,29370
E07000089,Hart,20948,26917,25711,27384,27392,29779,29493,29208,30053,29229,33019,32824,30565,34328,31533,31669,33113
E07000090,Havant,16387,17439,18761,18706,20106,19523,20055,22389,22161,21757,23848,24758,26615,27315,28932,25833,27554
E07000091,New Forest,17250,19186,19561,19018,19576,20297,19893,21607,22450,22842,23586,23919,24484,24865,24710,26295,27230
E07000092,Rushmoor,20410,21515,25000,26239,28717,28704,29424,30144,32561,33008,35820,34146,34600,32447,32800,32332,32468
E07000093,Test Valley,17728,18563,18564,21971,20809,22612,23237,23532,23884,25188,26582,25964,27097,27675,27586,27745,28271
E07000094,Winchester,18479,19466,21364,22971,24422,23670,24909,25523,27010,29152,28570,28397,27017,29810,30721,31150,31910
E07000095,Broxbourne,17280,18530,19234,19812,20869,22008,23147,22437,22002,24945,24540,24424,26160,25149,27431,28545,28808
E07000096,Dacorum,20722,21505,22823,24466,25464,25434,25276,25539,27931,29562,28244,27998,27812,28015,27754,27579,26159
E07000098,Hertsmere,20639,21872,22854,22892,22727,25146,25278,25168,25795,26585,29395,32299,26272,30270,29505,28261,#
E07000099,North Hertfordshire,18953,20553,20667,22536,22342,23144,24107,25057,24528,26125,27306,27907,27401,27568,27865,28786,31087
E07000102,Three Rivers,23631,22952,25161,27778,29960,31085,32216,34097,35575,36589,32811,33472,32222,31466,31626,31010,30286
E07000103,Watford,22532,21164,23546,21428,25274,24052,24594,25547,24809,26432,27080,26251,24589,26990,29391,29905,26371
