,,QTR 1 03-04,QRT 2 03-04,QTR 3 03-04,QRT 4 03-04,QTR 1 04-05,QRT 2 04-05,QTR 3 04-05,QRT 4 04-05,QTR 1 05- 06,QRT 2 05-06,QTR 3 05-06,QRT 4 05-06,QTR 1 06-07,QRT 2 06-07,QTR 3 06-07,QRT 4 06-07,QTR 1 07-08,QRT 2 07-08,QTR 3 07-08,QRT 4 07-08,QTR 1 08-09,QRT 2 08-09,QTR 3 08-09,QTR 4 08-09,QTR 1 09-10,QRT 2 09-10,QTR 3 09-10,QRT 4 09-10,QTR 1 10-11,QRT 2 10-11,QTR 3 10-11,QRT 4 10-11,QTR 1 11-12,QRT 2 11-12,QTR 3 11-12,QRT 4 11-12,QTR 1 12-13,QTR 2 12-13,QTR 3 12-13,QTR 4 12-13,QTR 1 13-14,QTR 2 13-14,QTR 3 13-14,QTR 4 13-14,QTR 1 14-15,QTR 2 14-15,QTR 3 14-15,QTR 4 14-15,QTR 1 15-16,QTR 2 15-16,QTR 3 15-16,QTR 4 15-16
Glasgow City,S12000046,76500,84000,87750,90000,94500,100000,99450,100000,103000,110000,105000,105000,111000,115000,117595,118000,125000,130629,127050,123000,123500,122250,115000,105000,112000,122086,117000,105000,112500,121000,115000,103000,110000,118275,115000,105000,107000,110000,105000,95500,101500,110327,105864,105000,110000,116000,110000,100000,117575,122500,121500,107000
Highland,S12000017,67500,75500,82000,80000,85000,97000,103000,95505,93797,107000,115500,112500,130000,132000,132000,132500,135000,148250,150000,140000,145000,145000,136250,120000,137500,136250,141000,135000,135000,142000,135000,125000,140000,142500,140000,135000,135000,138000,137000,138000,141000,139950,141000,135000,146000,150000,155000,145000,157000,158250,150000,150000
Inverclyde,S12000018,55083,59150,66000,65000,72000,75000,75000,79000,84100,85000,76500,83775,85000,90000,89000,89250,92500,98000,102000,104500,102000,101250,95000,85500,92500,83500,95000,90000,105000,100000,92500,93000,91000,100000,83490,83000,90000,92000,99500,75250,90000,98000,93000,99000,104000,97245,94500,92500,101000,115000,108527,97000
Midlothian,S12000019,78579,90000,102555,88384,92000,102500,102225,95000,110000,115000,115000,110000,120000,129000,132231,128401,141850,144998,144222,144998,146225,142500,150000,143363,134995,145000,148000,140000,149950,145498,150000,135000,146000,155000,135000,133000,143000,140125,135610,158501,151500,158400,149995,140000,144000,158000,167500,152000,165000,160000,170000,153000
Moray,S12000020,57626,67800,73231,66818,71700,77100,81995,80000,87300,88530,90000,85006,90000,104000,115000,114995,120000,132500,138500,130000,124750,125000,125500,122500,118000,125000,135000,120000,131250,115000,125000,120000,120000,124448,119000,119000,128500,135000,125000,132500,125000,124950,135000,124750,125000,140000,135000,135000,139998,140000,135000,131888
North Ayrshire,S12000021,51100,55056,57700,62750,67000,70000,68000,67000,69950,75528,79745,75000,79000,89000,89000,89998,95000,98150,103500,96000,100000,100000,91000,86000,92000,90000,97250,85000,103500,94498,100000,81000,87250,105000,95000,78000,86000,95000,87350,77495,88000,95000,80000,81000,95000,97250,103000,98000,95000,98000,110000,90157
North Lanarkshire,S12000044,55000,58000,58000,65000,70750,69995,70001,74500,78000,80175,80000,80500,88200,90750,93000,90000,95400,98000,98500,97000,100000,95000,97000,90000,92000,94995,96100,87000,95000,98000,95000,85250,85000,96000,99898,83000,84500,96000,91000,88000,92500,94300,89998,88500,95000,98000,94605,89000,102500,98750,100000,95000
Orkney Islands,S12000023,54000,50025,59500,63625,62500,62250,80000,83062,80000,92328,90500,78000,91500,100025,89000,87250,101150,110000,102258,95000,115000,99575,115000,102000,104000,108500,122800,101250,100000,118500,99250,105000,128028,100000,110000,121000,120000,125000,112500,103500,120000,120000,119750,108500,111250,117000,120000,120750,120000,120000,125000,125000
Perth and Kinross,S12000024,79950,84975,97563,97500,103751,100000,103041,111075,102000,120000,117278,122786,127500,135000,134500,135000,141516,155000,155000,140000,150000,148625,146500,125000,136000,150000,150000,140000,150000,145000,145000,157750,155000,150000,156000,148000,147000,159995,147000,135000,145000,158750,159000,150000,155878,162500,162875,163000,162250,166000,165000,155750
Renfrewshire,S12000038,60000,70000,68501,74995,70500,80000,76000,75750,80000,85000,89000,90000,92500,92000,97050,103763,105000,110000,110000,113000,116000,105000,92750,90000,108000,103000,107750,100000,97496,110500,100000,96023,99998,94750,97000,90000,94998,97500,90000,86000,96500,105000,99995,97500,106000,115125,110000,105500,115000,115000,119000,105000
Scotland,S92000003,71000,80000,82000,85000,87250,94000,95000,92000,95000,105000,105000,103000,110000,120000,120000,120000,125000,135000,133500,125000,130030,132000,125000,117500,124995,130500,130000,121000,125000,135000,127995,120000,128000,135000,130000,125000,125000,130013,127000,121000,125000,135000,133000,125000,135000,142539,139000,138000,140000,144635,141000,132924
Scottish Borders,S12000026,66025,79575,90000,86077,94998,97800,106014,88000,90000,107353,115000,110000,112000,130500,130130,125000,136800,145000,146500,135000,135000,140000,142500,125000,127500,141000,155000,135000,140000,162500,142000,125000,158148,152500,147750,135000,132750,139000,140000,130500,130050,144150,135000,131060,140000,140000,160000,147084,139000,155000,142500,148000
Shetland Islands,S12000027,52000,56500,60000,51650,60000,70000,80250,69000,59000,70000,74080,76000,68000,84000,77076,96594,85250,105875,97750,97000,88647,117500,96000,85000,92000,97118,105000,97125,104000,102625,117059,110000,115000,113500,118475,118000,130000,105000,120000,100000,110000,140000,127000,115000,140150,120000,143375,129000,144000,139000,134250,134500
South Ayrshire,S12000028,72361,78250,81500,87000,82475,95150,94500,87500,94750,102100,110750,115000,115000,122000,125000,117500,131495,140000,138000,124950,123900,125000,124498,120000,122250,129950,129500,108108,124950,138950,125000,110000,125000,130000,120750,109500,108100,125000,124923,125000,119000,126000,125000,119111,125000,125000,125000,117000,134000,140000,130000,125000
South Lanarkshire,S12000029,63083,70000,72028,80000,81500,83075,86500,83250,86000,92000,97000,95000,100000,108000,108000,105000,112500,115000,115250,117000,112000,117500,115000,96150,100750,110000,110000,110500,108000,115000,113995,100000,112000,115000,111500,108700,105500,110000,105000,97000,99995,110000,105000,97500,111000,114000,108000,110000,118250,120000,112500,107625
Stirling,S12000030,82501,100000,95000,104998,100000,108533,118100,110500,109875,120000,120000,115000,124000,134500,127500,135000,138000,150000,144975,156000,151250,159000,150079,139000,137750,142500,150500,125000,143000,149000,145000,128500,139998,163000,156000,157500,142500,148000,159250,147000,129025,140000,145000,135000,138000,158500,158000,145000,148500,150000,144750,148590
West Dunbartonshire,S12000039,55000,60000,67250,67425,66000,75000,75500,75000,79000,80000,83000,78750,84000,87000,91050,82000,92500,95750,99000,96500,99000,100000,88000,80000,86250,93000,86750,79995,93500,92748,97250,78125,90000,95000,95000,92500,90000,89500,98500,85000,84500,94750,94250,89475,88500,93000,100005,100000,105000,100000,93000,79000
West Lothian,S12000040,72000,81998,80000,86998,88500,93995,95000,90000,93000,100130,97925,100000,108000,110976,110500,119000,124750,123625,125000,122000,125000,124995,118750,115000,118350,120000,125000,115000,122500,120000,118500,110000,115000,122000,125000,115000,123750,119998,120000,110500,117500,125000,125000,119000,125000,134950,132255,132750,134000,147000,142000,128975
