Local authority code ,Local authority name,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E07000120,Hyndburn,28378,30125,30250,33000,33725,33750,35750,37625,49362,63912,75237,88112,93750,85500,84250,85000,85743,87375,85000,88462
E07000121,Lancaster,43250,44000,46262,46500,49112,52250,57875,72875,94537,114250,121162,129000,133250,125375,129750,126000,126250,127500,131625,136187
E07000122,Pendle,28456,29868,30662,30562,32909,32270,33148,35487,44500,55125,72500,87487,92000,85118,83000,84125,81375,82937,87000,90000
E07000123,Preston,40625,42625,44750,45500,47625,50993,55647,65176,82993,99497,112500,123237,123725,120875,122720,113625,120362,120500,124624,122875
E07000124,Ribble Valley,56125,58612,59712,62612,66243,71487,81862,102125,138562,160125,169925,181737,187062,169743,169937,180606,175625,176375,177500,183937
E07000125,Rossendale,36250,35993,38293,40000,42000,42687,45575,55975,74025,89487,98250,110125,111375,104500,109500,106250,105623,102500,108125,117686
E07000126,South Ribble,47737,48906,51000,53000,55855,59237,68612,84737,112362,125373,130281,142125,144197,135875,139975,136931,133750,133625,140075,142750
E07000127,West Lancashire,53062,55000,56737,59611,62125,68087,79375,96225,122725,138550,144993,155000,158000,152250,157750,152000,152937,157937,156831,161374
E07000128,Wyre,48737,51492,52875,54812,57281,60550,69475,87475,111750,130906,136750,147249,145625,139312,138750,135306,131625,131375,130687,136368
E08000011,Knowsley,40250,40500,42125,43250,45750,47875,53986,61725,83625,98781,110312,115675,114375,107125,107594,105000,102437,104406,107000,113367
E08000012,Liverpool,35625,37000,37187,39500,42355,45737,48172,53750,75875,89499,101625,113514,114375,110112,111925,107000,107362,109462,112250,117000
E08000014,Sefton,50250,52650,54343,56500,58862,64344,74535,91062,115750,132937,140793,149362,148725,144500,148400,141750,139843,136500,142875,147000
E08000013,St. Helens,40625,42000,41875,43493,45831,48225,53993,63725,84375,99562,110618,119675,119750,112937,113181,108118,103825,104750,110625,113250
E08000015,Wirral,43987,45307,46375,48487,52750,57611,65862,78162,100250,119237,127093,137468,138123,131487,134250,134062,134750,133957,139125,142037
E06000011,East Riding of Yorkshire,48162,49500,49973,51487,54000,58200,68737,87612,114312,128375,137237,147143,148500,138063,143000,139737,140625,138750,145625,150237
E06000010,"Kingston upon Hull, City of",32250,32250,31875,33500,34987,34900,36442,43650,54725,65125,76875,86822,91093,83375,88487,86256,84593,86250,88875,93125
E06000012,North East Lincolnshire,36000,38305,37987,40125,40250,42493,46762,52350,68515,80375,92350,103500,107108,102012,110312,107250,104750,104062,112556,115250
E06000013,North Lincolnshire,39268,40375,41875,42812,45375,47612,52250,66225,85625,99625,109125,118125,121500,115050,116250,113250,110250,111750,118750,122625
E06000014,York,53812,55862,57687,59725,67368,80750,98562,123500,141250,158350,162487,175987,178981,165437,173500,174625,174900,179156,186306,202693
E07000163,Craven,54118,57125,59975,61250,64112,70487,84487,111062,132125,151500,164362,175625,177125,164562,174437,175093,172000,169687,172000,180312
E07000164,Hambleton,63470,66250,69268,71125,77750,88000,104837,131562,164250,186550,188556,200000,199743,185931,192487,197750,199987,195500,198750,204625
E07000165,Harrogate,61230,63062,67800,72093,81862,92250,113737,144237,166000,183737,190631,208248,216875,194750,212250,214250,210000,214375,217500,234500
E07000166,Richmondshire,59373,60750,65000,68000,73363,76675,81475,112750,146243,161250,164562,182625,185130,176250,186750,197312,179750,191056,185250,184672
E07000167,Ryedale,59600,59937,60360,62750,70375,80862,93875,125750,153737,176312,182125,192000,201187,174000,184737,186806,179862,178875,179500,184000
E07000168,Scarborough,47500,49237,51375,52750,55987,60062,68662,86737,115375,136375,139937,148625,151812,138000,142500,144625,138750,137625,142231,147212
E07000169,Selby,50250,53362,55875,56998,60186,65812,81250,106250,132250,143780,150237,159123,160812,150000,157718,153075,153400,155000,158000,163814
E08000016,Barnsley,35249,35500,37093,39375,39737,39590,41300,50737,69280,84000,93475,103181,107306,97937,98250,95000,96500,98375,104500,106750
E08000017,Doncaster,35187,37250,38893,40183,41437,42318,46612,59750,81250,94623,102625,112000,113862,106493,109665,108375,106625,107156,113500,116625
E08000018,Rotherham,38375,39331,40043,43361,44981,45987,51237,63376,81018,95362,107862,117612,119000,112375,113475,111500,109768,114493,116812,121750
E08000019,Sheffield,42000,43750,45487,47300,50139,54401,62431,76862,95487,112043,121237,129237,130125,123936,129025,123918,124987,125250,129000,137237
